Name,Age,Education,Employment,Income,Poverty Level
Terry Hull,80,Secondary,Unemployed,1371,Below Poverty Line
Jeremy Johnson,77,No Education,Self-employed,236293,Above Poverty Line
Craig Gordon,52,Secondary,Self-employed,148780,Above Poverty Line
Renee Jackson,74,No Education,Unemployed,11236,Middle Class
Rebecca Gutierrez,85,Primary,Self-employed,526674,Above Poverty Line
Caroline Garcia,78,Tertiary,Self-employed,369762,Above Poverty Line
Ronald Sexton,34,Primary,Employed,646273,Above Poverty Line
Victoria Shelton,34,No Education,Self-employed,648109,Above Poverty Line
Aaron Graham,46,No Education,Employed,74477,Middle Class
Richard Hill,87,Tertiary,Unemployed,3620,Below Poverty Line
Dawn Howard,68,Secondary,Employed,553116,Above Poverty Line
Richard David,70,Primary,Unemployed,14117,Middle Class
Sean Stevenson,75,Primary,Employed,67925,Middle Class
Joshua Hoffman,61,Tertiary,Unemployed,9396,Below Poverty Line
Nicholas Robinson,56,Tertiary,Unemployed,11610,Middle Class
Kristin Fletcher,41,No Education,Self-employed,217949,Above Poverty Line
Laurie Montgomery,39,No Education,Employed,505118,Above Poverty Line
John Gomez,25,No Education,Unemployed,6362,Below Poverty Line
Clayton Ortega,75,No Education,Employed,687799,Above Poverty Line
Hannah Brown,57,No Education,Employed,239606,Above Poverty Line
Angela Jackson,67,Tertiary,Employed,495150,Above Poverty Line
Jessica Garcia,72,Secondary,Employed,237890,Above Poverty Line
Elizabeth Jordan,73,No Education,Employed,372595,Above Poverty Line
Bryan Lopez,59,Secondary,Unemployed,5627,Below Poverty Line
Sergio Perry,58,No Education,Self-employed,148930,Above Poverty Line
Roberto Webb,33,No Education,Employed,491833,Above Poverty Line
Terry Armstrong Jr.,45,Tertiary,Self-employed,112709,Above Poverty Line
Dylan Clay,69,Secondary,Employed,110330,Above Poverty Line
Matthew Church,76,Tertiary,Employed,674234,Above Poverty Line
Scott Moran,82,Primary,Employed,72776,Middle Class
Daryl Solis,79,Tertiary,Self-employed,597863,Above Poverty Line
Mark Kelly,24,No Education,Self-employed,808494,Above Poverty Line
Shawn Benton,48,No Education,Self-employed,188713,Above Poverty Line
Debra West,28,Primary,Self-employed,956589,Above Poverty Line
Cynthia Fields,39,Tertiary,Self-employed,513474,Above Poverty Line
Mathew Leon,40,Tertiary,Employed,980140,Above Poverty Line
Angela Burns,79,Primary,Unemployed,9962,Below Poverty Line
Dennis Davis,29,Secondary,Unemployed,9065,Below Poverty Line
Jennifer Moore,47,Tertiary,Self-employed,187246,Above Poverty Line
Gregory Wallace,21,No Education,Self-employed,633424,Above Poverty Line
Samantha Gibson,87,Secondary,Employed,630387,Above Poverty Line
Gregory Gutierrez,51,No Education,Employed,506558,Above Poverty Line
Cassandra Pope,32,Secondary,Unemployed,18624,Middle Class
Vincent Henderson,74,Secondary,Unemployed,9113,Below Poverty Line
Gregory Richardson,80,Secondary,Unemployed,9084,Below Poverty Line
Raymond Li,22,No Education,Unemployed,4567,Below Poverty Line
Ashlee Sullivan,59,No Education,Employed,997811,Above Poverty Line
Christy Simon,39,Secondary,Employed,241195,Above Poverty Line
David Marquez,47,Secondary,Unemployed,10791,Middle Class
Madison Johnson,68,Tertiary,Employed,54327,Middle Class
Natasha Garcia,51,Primary,Self-employed,616996,Above Poverty Line
Bonnie Richardson,51,Tertiary,Employed,899730,Above Poverty Line
Sherry Brown,66,Tertiary,Self-employed,915633,Above Poverty Line
Riley Webb,82,Tertiary,Employed,863131,Above Poverty Line
Christopher Estrada,81,Primary,Unemployed,6778,Below Poverty Line
Rose Roberts,30,Primary,Unemployed,8880,Below Poverty Line
Todd Hale,84,Primary,Employed,756765,Above Poverty Line
Michael Cardenas,83,No Education,Employed,16242,Middle Class
Scott Martinez,70,Tertiary,Employed,570425,Above Poverty Line
Megan Benson,83,Secondary,Unemployed,12648,Middle Class
Luis Knox,72,Tertiary,Self-employed,233484,Above Poverty Line
Jonathan Greer,28,No Education,Employed,922695,Above Poverty Line
Ricky Hernandez,87,Tertiary,Unemployed,10859,Middle Class
Sherry Williams,62,Tertiary,Unemployed,4970,Below Poverty Line
Timothy Blevins,45,Tertiary,Employed,634886,Above Poverty Line
Dr. Carol Turner,45,Tertiary,Unemployed,11871,Middle Class
Tammy Smith,75,Secondary,Unemployed,7100,Below Poverty Line
Larry Woodard,79,Tertiary,Unemployed,9887,Below Poverty Line
Kristin Black,22,Secondary,Self-employed,674255,Above Poverty Line
Taylor Le,64,Tertiary,Employed,25159,Middle Class
James Schroeder,63,Tertiary,Unemployed,14614,Middle Class
Joshua Smith,44,Tertiary,Employed,861508,Above Poverty Line
Darryl Clark,72,Tertiary,Employed,817223,Above Poverty Line
Alexander Pena,80,Tertiary,Employed,565396,Above Poverty Line
Yvette Ramsey,59,Secondary,Employed,81603,Middle Class
Jeffery Wilson,58,Tertiary,Self-employed,168275,Above Poverty Line
Joseph Green,72,Tertiary,Unemployed,12161,Middle Class
Kyle Fischer,51,Secondary,Employed,969787,Above Poverty Line
Trevor Taylor,72,No Education,Unemployed,10722,Middle Class
Lorraine Reeves,52,Primary,Employed,684482,Above Poverty Line
Emily Fleming,32,Tertiary,Self-employed,869184,Above Poverty Line
William Gonzalez,33,Secondary,Unemployed,8638,Below Poverty Line
Stacey White,81,Secondary,Unemployed,8986,Below Poverty Line
Jim Gordon,58,Tertiary,Self-employed,265663,Above Poverty Line
Cory Gallegos,44,No Education,Unemployed,8105,Below Poverty Line
Lauren Daniels,38,Tertiary,Self-employed,528807,Above Poverty Line
Thomas Walton,69,Tertiary,Unemployed,13369,Middle Class
Helen Zamora,75,Primary,Self-employed,459374,Above Poverty Line
Rachel King,42,Primary,Unemployed,12453,Middle Class
Jack West,61,Tertiary,Self-employed,427735,Above Poverty Line
William Jackson,71,Secondary,Self-employed,858053,Above Poverty Line
Megan Coleman,63,No Education,Unemployed,7441,Below Poverty Line
Craig Anderson,86,Secondary,Self-employed,753336,Above Poverty Line
Jose Harvey,32,Tertiary,Self-employed,441296,Above Poverty Line
Michael Soto,39,No Education,Self-employed,27208,Middle Class
Andrew Lewis,58,Tertiary,Unemployed,9515,Below Poverty Line
Jacqueline Dean,78,Secondary,Unemployed,2855,Below Poverty Line
Alex Johnson,22,Secondary,Employed,641588,Above Poverty Line
Laura Ross DDS,27,No Education,Employed,640723,Above Poverty Line
Emily Velez,19,Tertiary,Unemployed,5770,Below Poverty Line
Mr. Ronald Davis,52,Tertiary,Unemployed,13317,Middle Class
Leslie Jordan,77,Secondary,Employed,402368,Above Poverty Line
Michael Valdez,44,Secondary,Employed,221705,Above Poverty Line
Matthew Mullen,26,Secondary,Self-employed,410231,Above Poverty Line
Charlene Nelson,37,Tertiary,Self-employed,609291,Above Poverty Line
Robert Johnson,29,No Education,Self-employed,411731,Above Poverty Line
Taylor Hinton,69,Primary,Self-employed,712050,Above Poverty Line
Angela Robinson,35,Secondary,Employed,453311,Above Poverty Line
Jason Mccann,64,Tertiary,Unemployed,8102,Below Poverty Line
Breanna Hill,39,No Education,Self-employed,81396,Middle Class
Patricia Gaines,62,Primary,Employed,127133,Above Poverty Line
Helen Wagner,20,No Education,Self-employed,500862,Above Poverty Line
Ashley Clarke,37,No Education,Unemployed,14861,Middle Class
Sharon Wood,42,Secondary,Employed,619345,Above Poverty Line
Rhonda Brown,76,Secondary,Self-employed,790913,Above Poverty Line
Melissa Myers,34,No Education,Self-employed,909128,Above Poverty Line
Samantha Cooper,37,Tertiary,Unemployed,11256,Middle Class
James Cruz,69,Primary,Self-employed,148369,Above Poverty Line
Elizabeth Mitchell,30,No Education,Unemployed,1543,Below Poverty Line
Patricia Russell,65,No Education,Employed,266849,Above Poverty Line
Carol Garcia,78,Tertiary,Unemployed,17008,Middle Class
Michelle Jimenez,75,Tertiary,Unemployed,10981,Middle Class
Tina Martin,20,Secondary,Employed,782126,Above Poverty Line
Elijah White,31,Primary,Unemployed,6977,Below Poverty Line
Ruth Glenn,79,Secondary,Self-employed,866877,Above Poverty Line
Jonathan Daniels,60,No Education,Employed,812542,Above Poverty Line
Erin Larson,32,No Education,Unemployed,2479,Below Poverty Line
Melissa Davis,36,Primary,Employed,305601,Above Poverty Line
Nicholas Briggs,42,Secondary,Unemployed,13105,Middle Class
Michael Morales,71,Secondary,Employed,479075,Above Poverty Line
Billy Wright,49,Secondary,Self-employed,894112,Above Poverty Line
Amy Nelson,32,Tertiary,Unemployed,13583,Middle Class
Aaron Walker,33,Tertiary,Unemployed,7077,Below Poverty Line
Carl Taylor,60,No Education,Employed,839932,Above Poverty Line
Toni Mccoy,73,No Education,Unemployed,15800,Middle Class
Susan Smith,53,Primary,Unemployed,11092,Middle Class
Andrea Davis,45,Secondary,Self-employed,613638,Above Poverty Line
Cynthia Huber,36,No Education,Unemployed,10331,Middle Class
Joseph Olson,36,Secondary,Unemployed,16770,Middle Class
Sherry Douglas,70,Primary,Self-employed,591662,Above Poverty Line
Lisa Camacho,52,Secondary,Employed,723541,Above Poverty Line
Chad Lamb,27,Tertiary,Employed,553050,Above Poverty Line
Robert Blair,79,Secondary,Unemployed,12459,Middle Class
Kayla Woodard,77,No Education,Self-employed,482481,Above Poverty Line
Anthony Lloyd,86,Tertiary,Self-employed,232480,Above Poverty Line
Heather Fuller,20,Primary,Self-employed,469892,Above Poverty Line
Jay Blake,79,Tertiary,Self-employed,82185,Middle Class
Derek Cooper,63,Tertiary,Employed,894513,Above Poverty Line
Emily Gordon,54,No Education,Employed,29818,Middle Class
Karen Baker,27,Primary,Employed,896030,Above Poverty Line
Jill Smith,52,Secondary,Self-employed,843357,Above Poverty Line
Richard Richardson,44,Primary,Unemployed,13502,Middle Class
Angela Palmer,61,Tertiary,Employed,107841,Above Poverty Line
Andrea Schmidt,71,Secondary,Unemployed,16639,Middle Class
Daniel Stewart,22,Secondary,Employed,937400,Above Poverty Line
Crystal Davidson,24,No Education,Self-employed,996513,Above Poverty Line
Louis Bryant,21,No Education,Employed,343997,Above Poverty Line
Patricia Jimenez,84,Tertiary,Employed,956602,Above Poverty Line
Jesse Mccoy,54,Tertiary,Employed,256781,Above Poverty Line
Jesse Tapia,38,Tertiary,Employed,24318,Middle Class
Troy Rodriguez,31,No Education,Employed,113829,Above Poverty Line
Whitney Garza,39,No Education,Self-employed,572057,Above Poverty Line
Kellie Mendoza,75,No Education,Self-employed,975586,Above Poverty Line
Travis Carrillo,55,Tertiary,Employed,53545,Middle Class
Geoffrey Wheeler,49,Secondary,Unemployed,14438,Middle Class
Kimberly King,73,Primary,Unemployed,12885,Middle Class
Brandon Wagner,24,No Education,Unemployed,12387,Middle Class
Jessica Williams,81,Primary,Employed,225172,Above Poverty Line
Brian Underwood,26,Primary,Unemployed,12177,Middle Class
